subcategory,title,price,rating,reviews,url,category,value_score,popularity_score,price_bucket
Bike Headlamps,USB Rechargeable LED Headlamp Zoomable COB Rotatable Adjustment Headlight with Induction Sensor Headlight for Camping Cycling Night Riding,6.21,4.93,0,https://www.banggood.com/USB-Rechargeable-LED-Headlamp-Zoomable-COB-Rotatable-Adjustment-Headlight-with-Induction-Sensor-Headlight-for-Camping-Cycling-Night-Riding-p-2041046.html?cur_warehouse=CN&ID=6287830&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.7939,4.93,Low
Bike Headlamps,Induction Hanging Ear Work Light Portable EDC Flashlight Outdoor Fishing Headlamp Waterproof Emergency Lamp for Camping Running Hiking Mini Flashlight,6.89,4.93,0,https://www.banggood.com/Induction-Hanging-Ear-Work-Light-Portable-EDC-Flashlight-Outdoor-Fishing-Headlamp-Waterproof-Emergency-Lamp-for-Camping-Running-Hiking-Mini-Flashlight-p-2039060.html?cur_warehouse=CN&ID=511646&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.7155,4.93,Low
Bike Headlamps,Powerful COB LED Headlamp Three Light Source Red Warning Night Fishing Headlight Type-C USB Rechargeable Head Lamp,5.75,5.0,1,https://www.banggood.com/Powerful-COB-LED-Headlamp-Three-Light-Source-Red-Warning-Night-Fishing-Headlight-Type-C-USB-Rechargeable-Head-Lamp-p-1992062.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.8696,7.0711,Low
Bike Headlamps,HP130 1150LM LED Powerful Headlamp Type-C Rechargeable Headlight with Magnet Waterproof Fishing Head Torch Emergency Lantern,12.12,5.0,1,https://www.banggood.com/HP130-1150LM-LED-Powerful-Headlamp-Type-C-Rechargeable-Headlight-with-Magnet-Waterproof-Fishing-Head-Torch-Emergency-Lantern-p-2013617.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.4125,7.0711,Medium
Bike Headlamps,BIKIGHT LED Rechargeable Headlamp Super Bright LED 6 Modes Waterproof Lightweight Headlamp for Camping Outdoor Sports,12.42,3.0,2,https://www.banggood.com/BIKIGHT-LED-Rechargeable-Headlamp-Super-Bright-LED-6-Modes-Waterproof-Lightweight-Headlamp-for-Camping-Outdoor-Sports-p-2015550.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.2415,5.1962,Medium
Bike Headlamps,W373 XPG Super Bright LED Headlamp Type-C USB Rechargeable Portable Strong Outdoor Lighting Headlight L-shape Flashlight with Magnet,12.27,5.0,5,https://www.banggood.com/W373-XPG-Super-Bright-LED-Headlamp-Type-C-USB-Rechargeable-Portable-Strong-Outdoor-Lighting-Headlight-L-shape-Flashlight-with-Magnet-p-1986546.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.4075,12.2474,Medium
Bike Headlamps,350LM Smart Induction Riding Headlamp USB Rechargeable LED Headlight Cycling Adventure Fishing Flashlight Bike Headlamp,10.3,5.0,6,https://www.banggood.com/350LM-Smart-Induction-Riding-Headlamp-USB-Rechargeable-LED-Headlight-Cycling-Adventure-Fishing-Flashlight-Bike-Headlamp-p-1985925.html?cur_warehouse=CN&ID=5148296287845&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.4854,13.2288,Medium
Bike Headlamps,BIKIGHT 700LM XPE+COB LED HeadLamp USB Interface Waterproof Outdoor Camping Hiking Cycling Fishing Light,5.12,4.76,21,https://www.banggood.com/BIKIGHT-700LM-XPE+COB-LED-HeadLamp-USB-Interface-Waterproof-Outdoor-Camping-Hiking-Cycling-Fishing-Light-p-1976205.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.9297,22.3264,Low
Bike Headlamps,XMUND Camping Headlight Head Flashlight Head Light 11 LED Headlamp Rechargeable Powerful Head Lamp Built-in Rechargeable 18650 Battery SH-T11,9.16,4.82,77,https://www.banggood.com/XMUND-Camping-Headlight-Head-Flashlight-Head-Light-11-LED-Headlamp-Rechargeable-Powerful-Head-Lamp-Built-in-Rechargeable-18650-Battery-SH-T11-p-1976197.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.5262,42.5691,Low
Bike Headlamps,Outdoor Intelligent Sensing Headlight USB Charging Strong Bald Headlight LED Night Fishing Portable Night Running Light,5.75,4.0,2,https://www.banggood.com/Outdoor-Intelligent-Sensing-Headlight-USB-Charging-Strong-Bald-Headlight-LED-Night-Fishing-Portable-Night-Running-Light-p-1984016.html?cur_warehouse=CN&ID=6287830&rmmds=CategorySportsPop&trace_id=1ca01763853502153,Sports And Outdoors,0.6957,6.9282,Low
